345: X: 0.570260, Y: 3.430736, Z: 4.236250
346: X: 0.575562, Y: 3.462632, Z: 4.246094
347: X: 0.582402, Y: 3.503783, Z: 4.236250
348: X: 0.590288, Y: 3.551226, Z: 4.206718
349: X: 0.598728, Y: 3.602001, Z: 4.157500
350: X: 0.607229, Y: 3.653146, Z: 4.088593
351: X: 0.615300, Y: 3.701700, Z: 4.000000
352: X: 1.116640, Y: 3.324160, Z: 4.000000
353: X: 1.105414, Y: 3.290740, Z: 4.088594
354: X: 1.101007, Y: 3.277622, Z: 4.157500
355: X: 1.102463, Y: 3.281955, Z: 4.206718
356: X: 1.108824, Y: 3.300891, Z: 4.236250
357: X: 1.119133, Y: 3.331580, Z: 4.246094
358: X: 1.132432, Y: 3.371173, Z: 4.236250
359: X: 1.147766, Y: 3.416821, Z: 4.206718
360: X: 1.164177, Y: 3.465674, Z: 4.157500
361: X: 1.180707, Y: 3.514884, Z: 4.088593
362: X: 1.196400, Y: 3.561600, Z: 4.000000
363: X: 1.620360, Y: 3.114440, Z: 4.000000
364: X: 1.604070, Y: 3.083129, Z: 4.088594
365: X: 1.597675, Y: 3.070838, Z: 4.157500
366: X: 1.599787, Y: 3.074898, Z: 4.206718
367: X: 1.609018, Y: 3.092639, Z: 4.236250
368: X: 1.623977, Y: 3.121392, Z: 4.246094
369: X: 1.643277, Y: 3.158487, Z: 4.236250
370: X: 1.665528, Y: 3.201255, Z: 4.206718
371: X: 1.689341, Y: 3.247026, Z: 4.157500
372: X: 1.713328, Y: 3.293131, Z: 4.088593
373: X: 1.736100, Y: 3.336900, Z: 4.000000
374: X: 2.078720, Y: 2.832480, Z: 4.000000
375: X: 2.057822, Y: 2.804004, Z: 4.088594
376: X: 2.049618, Y: 2.792825, Z: 4.157500
377: X: 2.052328, Y: 2.796518, Z: 4.206718
378: X: 2.064169, Y: 2.812653, Z: 4.236250
379: X: 2.083360, Y: 2.838802, Z: 4.246094
380: X: 2.108119, Y: 2.872540, Z: 4.236250
381: X: 2.136664, Y: 2.911435, Z: 4.206718
382: X: 2.167214, Y: 2.953063, Z: 4.157500
383: X: 2.197987, Y: 2.994994, Z: 4.088593
384: X: 2.227200, Y: 3.034800, Z: 4.000000
385: X: 2.485000, Y: 2.485000, Z: 4.000000
386: X: 2.460017, Y: 2.460017, Z: 4.088594
387: X: 2.450210, Y: 2.450210, Z: 4.157500
388: X: 2.453449, Y: 2.453449, Z: 4.206718
389: X: 2.467605, Y: 2.467605, Z: 4.236250
390: X: 2.490547, Y: 2.490547, Z: 4.246094
391: X: 2.520145, Y: 2.520145, Z: 4.236250
392: X: 2.554269, Y: 2.554269, Z: 4.206718
393: X: 2.590790, Y: 2.590790, Z: 4.157500
394: X: 2.627577, Y: 2.627577, Z: 4.088593
395: X: 2.662500, Y: 2.662500, Z: 4.000000
396: X: 2.832480, Y: 2.078720, Z: 4.000000
397: X: 2.804004, Y: 2.057821, Z: 4.088594
398: X: 2.792825, Y: 2.049618, Z: 4.157500
399: X: 2.796518, Y: 2.052328, Z: 4.206718
400: X: 2.812653, Y: 2.064169, Z: 4.236250
401: X: 2.838803, Y: 2.083360, Z: 4.246094
402: X: 2.872540, Y: 2.108119, Z: 4.236250
403: X: 2.911435, Y: 2.136664, Z: 4.206718
404: X: 2.953063, Y: 2.167214, Z: 4.157500
405: X: 2.994994, Y: 2.197986, Z: 4.088593
406: X: 3.034800, Y: 2.227200, Z: 4.000000
407: X: 3.114440, Y: 1.620360, Z: 4.000000
408: X: 3.083129, Y: 1.604069, Z: 4.088594
409: X: 3.070838, Y: 1.597675, Z: 4.157500
410: X: 3.074898, Y: 1.599787, Z: 4.206718
411: X: 3.092639, Y: 1.609017, Z: 4.236250
412: X: 3.121392, Y: 1.623977, Z: 4.246094
413: X: 3.158487, Y: 1.643276, Z: 4.236250
414: X: 3.201255, Y: 1.665527, Z: 4.206718
415: X: 3.247026, Y: 1.689341, Z: 4.157500
416: X: 3.293131, Y: 1.713328, Z: 4.088593
417: X: 3.336900, Y: 1.736100, Z: 4.000000
418: X: 3.324160, Y: 1.116640, Z: 4.000000
419: X: 3.290740, Y: 1.105413, Z: 4.088594
420: X: 3.277622, Y: 1.101007, Z: 4.157500
421: X: 3.281955, Y: 1.102462, Z: 4.206718
422: X: 3.300891, Y: 1.108823, Z: 4.236250
423: X: 3.331580, Y: 1.119132, Z: 4.246094
424: X: 3.371173, Y: 1.132432, Z: 4.236250
425: X: 3.416821, Y: 1.147766, Z: 4.206718
426: X: 3.465674, Y: 1.164177, Z: 4.157500
427: X: 3.514884, Y: 1.180707, Z: 4.088593
428: X: 3.561600, Y: 1.196400, Z: 4.000000
429: X: 3.454920, Y: 0.574279, Z: 4.000000
430: X: 3.420186, Y: 0.568506, Z: 4.088594
431: X: 3.406551, Y: 0.566240, Z: 4.157500
432: X: 3.411055, Y: 0.566988, Z: 4.206718
433: X: 3.430736, Y: 0.570260, Z: 4.236250
434: X: 3.462632, Y: 0.575561, Z: 4.246094
435: X: 3.503783, Y: 0.582401, Z: 4.236250
436: X: 3.551226, Y: 0.590288, Z: 4.206718
437: X: 3.602001, Y: 0.598727, Z: 4.157500
438: X: 3.653146, Y: 0.607229, Z: 4.088593
439: X: 3.701700, Y: 0.615299, Z: 4.000000
440: X: 3.936875, Y: 0.000000, Z: 3.606438
441: X: 4.120000, Y: 0.000000, Z: 3.214000
442: X: 4.295625, Y: 0.000000, Z: 2.823812
443: X: 4.460000, Y: 0.000000, Z: 2.437000
444: X: 4.609375, Y: 0.000000, Z: 2.054688
445: X: 4.740000, Y: 0.000000, Z: 1.678000
446: X: 4.848125, Y: 0.000000, Z: 1.308062
447: X: 4.930000, Y: 0.000000, Z: 0.946000
448: X: 4.981875, Y: 0.000000, Z: 0.592937
449: X: 5.000000, Y: 0.000000, Z: 0.250000
450: X: 3.886168, Y: -0.645962, Z: 3.606438
451: X: 4.066934, Y: -0.676010, Z: 3.214000
452: X: 4.240297, Y: -0.704826, Z: 2.823812
453: X: 4.402555, Y: -0.731797, Z: 2.437000
454: X: 4.550006, Y: -0.756306, Z: 2.054688
455: X: 4.678949, Y: -0.777739, Z: 1.678000
456: X: 4.785681, Y: -0.795480, Z: 1.308062
457: X: 4.866501, Y: -0.808914, Z: 0.946000
458: X: 4.917708, Y: -0.817426, Z: 0.592937
459: X: 4.935600, Y: -0.820400, Z: 0.250000
460: X: 3.739086, Y: -1.256021, Z: 3.606438
461: X: 3.913011, Y: -1.314445, Z: 3.214000
462: X: 4.079813, Y: -1.370476, Z: 2.823812
463: X: 4.235929, Y: -1.422918, Z: 2.437000
464: X: 4.377800, Y: -1.470575, Z: 2.054688
465: X: 4.501863, Y: -1.512250, Z: 1.678000
466: X: 4.604555, Y: -1.546746, Z: 1.308062
467: X: 4.682317, Y: -1.572867, Z: 0.946000
468: X: 4.731586, Y: -1.589417, Z: 0.592937
469: X: 4.748800, Y: -1.595200, Z: 0.250000
470: X: 3.503189, Y: -1.822616, Z: 3.606438
471: X: 3.666141, Y: -1.907395, Z: 3.214000
472: X: 3.822419, Y: -1.988703, Z: 2.823812
473: X: 3.968687, Y: -2.064802, Z: 2.437000
474: X: 4.101606, Y: -2.133956, Z: 2.054688
475: X: 4.217842, Y: -2.194430, Z: 1.678000
476: X: 4.314056, Y: -2.244488, Z: 1.308062
477: X: 4.386911, Y: -2.282393, Z: 0.946000
478: X: 4.433072, Y: -2.306409, Z: 0.592937
479: X: 4.449200, Y: -2.314800, Z: 0.250000
480: X: 3.186034, Y: -2.338189, Z: 3.606438
481: X: 3.334234, Y: -2.446950, Z: 3.214000
482: X: 3.476363, Y: -2.551258, Z: 2.823812
483: X: 3.609389, Y: -2.648883, Z: 2.437000
484: X: 3.730275, Y: -2.737600, Z: 2.054688
485: X: 3.835987, Y: -2.815181, Z: 1.678000
486: X: 3.923491, Y: -2.879398, Z: 1.308062
487: X: 3.989750, Y: -2.928026, Z: 0.946000
488: X: 4.031732, Y: -2.958835, Z: 0.592937
489: X: 4.046400, Y: -2.969600, Z: 0.250000
490: X: 2.795181, Y: -2.795181, Z: 3.606438
491: X: 2.925200, Y: -2.925200, Z: 3.214000
492: X: 3.049894, Y: -3.049894, Z: 2.823812
493: X: 3.166600, Y: -3.166600, Z: 2.437000
494: X: 3.272656, Y: -3.272656, Z: 2.054688
495: X: 3.365400, Y: -3.365400, Z: 1.678000
